Date,Price,Market Caps,Volumes
2017-09-02 00:00:00.000,4863.19304868405,75367266379.22632,909131411.605347
2017-09-03 00:00:00.000,4556.5977768913,76631058145.99944,1475097323.458513
2017-09-04 00:00:00.000,4632.46233076675,71425022760.39119,1007165501.0854648
2017-09-05 00:00:00.000,4317.18518771612,73598219046.08562,1554585273.636073
2017-09-06 00:00:00.000,4447.87559221093,75996461011.38934,1626968192.530412
2017-09-07 00:00:00.000,4592.25027789782,75883474995.22142,1060025861.6307496
2017-09-08 00:00:00.000,4584.82027519271,70933796921.03749,669892692.7226958
2017-09-09 00:00:00.000,4285.20793872097,70287354161.79593,1477975497.7897267
2017-09-10 00:00:00.000,4245.60734112386,68424784707.49242,787822375.6637348
2017-09-11 00:00:00.000,4132.6646422833,68968724069.36708,997139675.398169
2017-09-12 00:00:00.000,4164.97621199409,68415142331.638626,771493043.3837389
2017-09-13 00:00:00.000,4130.95628475182,64328714659.05176,1062536773.8295213
2017-09-14 00:00:00.000,3883.65200134942,51366093442.36449,1545425745.1412098
2017-09-15 00:00:00.000,3100.66815470405,59446207725.41725,1950938472.0145135
2017-09-16 00:00:00.000,3587.9431219159,59757602841.68003,3308099534.339308
2017-09-17 00:00:00.000,3606.27519721432,58889832717.23171,1399781741.4877734
2017-09-18 00:00:00.000,3553.43231625865,66500676482.32742,846880197.8947364
2017-09-19 00:00:00.000,4012.28582499344,64629619385.94208,1282809663.1080554
2017-09-20 00:00:00.000,3898.93473248234,63957210363.29384,942656241.4373351
2017-09-21 00:00:00.000,3858.02095060051,60152757874.00039,676074373.1781092
2017-09-22 00:00:00.000,3628.05858753461,60061814860.04741,913652257.307351
2017-09-23 00:00:00.000,3622.1830393146,62411285738.3069,767837732.7568976
2017-09-24 00:00:00.000,3763.41140627887,60907151775.202774,578068211.7796992
2017-09-25 00:00:00.000,3672.30507973319,64137374771.87553,429544014.3865627
2017-09-26 00:00:00.000,3866.70515274174,63915425115.126785,800311260.7601415
2017-09-27 00:00:00.000,3852.93520487706,68589320812.824844,544391497.5833492
2017-09-28 00:00:00.000,4134.21241496119,68609525756.87619,936452128.5755137
2017-09-29 00:00:00.000,4134.88495085993,68544241007.41879,852500405.3533716
2017-09-30 00:00:00.000,4130.41524600294,71329258156.47789,829225349.3886597
2017-10-01 00:00:00.000,4297.79117003372,72162524814.14323,720251082.9981893
2017-10-02 00:00:00.000,4347.57873545332,72763860755.0592,682387248.0888995
2017-10-03 00:00:00.000,4383.32549736353,71707074498.61319,738468958.9611623
2017-10-04 00:00:00.000,4319.06921246641,70259971867.79242,760685985.6944162
2017-10-05 00:00:00.000,4231.46418703684,71244448102.50621,573368922.9375935
2017-10-06 00:00:00.000,4290.38040438142,72202651600.90865,713160614.1358172
2017-10-07 00:00:00.000,4347.54723950876,73165830198.24252,623863525.065278
2017-10-08 00:00:00.000,4405.0162007055,75788890435.07802,468192424.3612093
2017-10-09 00:00:00.000,4562.32193109848,79061044585.54332,771225396.3362144
2017-10-10 00:00:00.000,4758.72164979337,79249573590.62794,1128809802.8032467
2017-10-11 00:00:00.000,4769.47734676417,79896727838.75774,1134289150.2871664
2017-10-12 00:00:00.000,4807.92589489803,88609513441.24539,836737765.8088199
2017-10-13 00:00:00.000,5331.61930195449,93253757323.27051,2084912155.2398603
2017-10-14 00:00:00.000,5610.49316222874,94406037193.81062,3174154333.22038
2017-10-15 00:00:00.000,5679.21622165638,94500193338.09784,2311782991.9538355
2017-10-16 00:00:00.000,5684.04710411913,95258545426.38307,1665374310.9042103
2017-10-17 00:00:00.000,5728.93275055115,93855824390.12392,1060235879.6212636
2017-10-18 00:00:00.000,5643.85907705172,93017336298.87627,1106795866.7539878
2017-10-19 00:00:00.000,5592.78222421231,94752516351.64403,2100240729.7126238
2017-10-20 00:00:00.000,5696.38014134367,99030673396.69295,1229468606.297799
2017-10-21 00:00:00.000,5952.7713587923,100559216276.95663,1843078157.4676561
2017-10-22 00:00:00.000,6043.96673129542,99899292227.65865,1763987336.866072
2017-10-23 00:00:00.000,6003.4640189335,99188570754.3323,1799855389.6500697
2017-10-24 00:00:00.000,5959.98304059248,92378194194.24738,2039339670.519878
2017-10-25 00:00:00.000,5550.08158528565,94967978387.47089,2240037527.3631616
2017-10-26 00:00:00.000,5704.87480650775,97947023064.89772,1621897626.2100537
2017-10-27 00:00:00.000,5883.05318447111,96164443214.40039,1501048614.382047
2017-10-28 00:00:00.000,5775.51666530736,95484533854.62123,1332315431.0582082
2017-10-29 00:00:00.000,5734.30745398276,101977770673.5449,892992277.0600395
2017-10-30 00:00:00.000,6123.54977135535,101669814828.64807,1942980852.5876098
2017-10-31 00:00:00.000,6104.38870915078,106082152741.21794,1307795534.5842988
2017-11-01 00:00:00.000,6368.65164135745,111860407349.42265,1800486324.20211
2017-11-02 00:00:00.000,6714.78898671902,117621545279.66475,2095690342.820862
2017-11-03 00:00:00.000,7059.7938605488,120546744685.76022,4363333285.959415
2017-11-04 00:00:00.000,7234.73838202036,123154674357.55318,2826731064.9064713
2017-11-05 00:00:00.000,7390.53522652395,123596829565.80898,2043449643.0088456
2017-11-06 00:00:00.000,7416.26795098255,118388777524.7116,1942850008.8349419
2017-11-07 00:00:00.000,7103.04608116249,119464110442.1775,2653734034.8498173
2017-11-08 00:00:00.000,7166.74137167631,124396351241.9002,1829995407.419026
2017-11-09 00:00:00.000,7461.82443491069,119816786360.01381,3478638875.179309
2017-11-10 00:00:00.000,7186.29277509382,110999386930.46329,2330693500.643121
2017-11-11 00:00:00.000,6656.83969350681,106146109132.28351,3886426125.5147686
2017-11-12 00:00:00.000,6365.39785208573,97832172888.05261,3148369501.39065
2017-11-13 00:00:00.000,5866.51312938529,107125442451.24033,6001017946.926174
2017-11-14 00:00:00.000,6423.09140246102,110957725266.311,4636291555.878799
2017-11-15 00:00:00.000,6652.21677956026,121737427357.354,1824550614.66447
2017-11-16 00:00:00.000,7297.66883633256,130381304858.568,2935591360.13778
2017-11-17 00:00:00.000,7814.9444036566,129865386010.109,3413089663.2046
2017-11-18 00:00:00.000,7783.54246476388,130622715624.408,3245859431.04955
2017-11-19 00:00:00.000,7827.63146946899,133701043637.728,2227536660.24511
2017-11-20 00:00:00.000,8011.14742989044,137213053125.934,1572771188.84144
2017-11-21 00:00:00.000,8220.50996617654,135455116259.548,1706394365.70662
2017-11-22 00:00:00.000,8114.13367954416,137857431278.079,2901936853.36067
2017-11-23 00:00:00.000,8257.12389528835,135545106327.703,1528137247.48478
2017-11-24 00:00:00.000,8117.66434762603,138239984963.008,1550586714.56084
2017-11-25 00:00:00.000,8278.12843633886,146022669794.181,2135298893.09068
2017-11-26 00:00:00.000,8743.1593779107,156058041450.11,2124257198.58414
2017-11-27 00:00:00.000,9342.98864142167,164237026935.379,3493015606.59397
2017-11-28 00:00:00.000,9831.40292992241,171368281967.209,3629754499.83265
2017-11-29 00:00:00.000,10257.0674169803,165021094137.072,3453118781.61612
2017-11-30 00:00:00.000,9875.89230818829,173903131019.367,10258439067.6534
2017-12-01 00:00:00.000,10406.18772373,183780731163.873,7443964832.98962
2017-12-02 00:00:00.000,10995.7235531179,186591841366.624,5021611419.94158
2017-12-03 00:00:00.000,11162.5450307617,188190520506.165,3178820954.9194
2017-12-04 00:00:00.000,11256.7018287538,194541160318.899,5761492455.64625
2017-12-05 00:00:00.000,11634.9849554034,203585321680.101,3216349724.23645
2017-12-06 00:00:00.000,12174.2537397926,232080024191.322,3131952573.50185
2017-12-07 00:00:00.000,13876.4735794148,309298517515.443,5086411370.06241
2017-12-08 00:00:00.000,18491.1815542282,282850210542.754,16482921408.0842
2017-12-09 00:00:00.000,16908.0049521112,255421618137.278,24144297784.1442
2017-12-10 00:00:00.000,15266.4263894651,264523195368.976,7307194000.11675
2017-12-11 00:00:00.000,15808.5098961544,286279279595.202,10474626172.7887
2017-12-12 00:00:00.000,17106.5051488871,288713846623.762,7710546749.544
2017-12-13 00:00:00.000,17249.920214656,276619329724.168,4686094939.5687
2017-12-14 00:00:00.000,16525.0444892988,282355027769.183,4407769522.20181
2017-12-15 00:00:00.000,16865.3616648753,301031043805.055,4117594354.00804
2017-12-16 00:00:00.000,17978.6305581344,329315720181.841,6146229228.58011
2017-12-17 00:00:00.000,19665.3949272416,325311461891.215,5116192713.25694
2017-12-18 00:00:00.000,19423.5801532525,321409248360.935,4251128480.35423
2017-12-19 00:00:00.000,19188.0539569348,304459646943.618,5411492204.5264
2017-12-20 00:00:00.000,18174.1867596316,285821795917.542,6141309845.2726
2017-12-21 00:00:00.000,17059.8883502646,274043056258.078,7509260354.08289
2017-12-22 00:00:00.000,16355.2382257401,236028031210.852,5580926436.9909
2017-12-23 00:00:00.000,14084.8249267767,255444795621.567,12164204097.121
2017-12-24 00:00:00.000,15241.9164656487,242218743695.445,5076754666.02441
2017-12-25 00:00:00.000,14451.1145466743,239755987703.759,4129411907.77252
2017-12-26 00:00:00.000,14302.7537081839,278573473665.536,2485439206.78209
2017-12-27 00:00:00.000,16616.6820570844,274522325686.838,4255570625.9614
2017-12-28 00:00:00.000,16373.0810795739,252666630245.445,4950722889.35151
2017-12-29 00:00:00.000,15067.8994980567,253178163423.298,5266566467.59302
2017-12-30 00:00:00.000,15096.5594360709,228445816988.881,3753038183.65771
